,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[306],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[307],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[308],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[309],0.997,0.156,0.683,1.263,0.006,0.004,747.0,752.0,1.0
mu[310],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[311],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[312],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[313],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[314],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[315],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[316],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[317],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[318],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[319],1.208,0.204,0.818,1.617,0.007,0.006,751.0,735.0,1.0
mu[320],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[321],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[322],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[323],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[324],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[325],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[326],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[327],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[328],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[329],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[330],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[331],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[332],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[333],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[334],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[335],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[336],2.131,0.302,1.594,2.719,0.011,0.008,784.0,737.0,1.0
mu[337],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[338],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[339],1.278,0.191,0.893,1.641,0.007,0.005,812.0,577.0,1.0
mu[340],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[341],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[342],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[343],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[344],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[345],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[346],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[347],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[348],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[349],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[350],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[351],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[352],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[353],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[354],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[355],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[356],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[357],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[358],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[359],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[360],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[361],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[362],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[363],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[364],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[365],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[366],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[367],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[368],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[369],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[370],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[371],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[372],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[373],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[374],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[375],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[376],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[377],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[378],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[379],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[380],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[381],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[382],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[383],0.954,0.14,0.694,1.236,0.005,0.004,779.0,775.0,1.0
mu[384],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[385],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[386],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[387],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[388],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[389],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[390],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[391],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[392],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[393],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[394],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[395],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[396],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[397],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[398],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[399],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[400],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[401],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[402],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[403],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[404],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[405],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[406],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[407],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[408],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[409],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[410],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[411],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[412],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[413],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[414],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[415],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[416],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[417],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[418],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[419],2.427,0.328,1.833,3.055,0.011,0.009,831.0,857.0,1.0
mu[420],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[421],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[422],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[423],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[424],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[425],1.165,0.188,0.811,1.524,0.007,0.006,767.0,582.0,1.0
mu[426],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[427],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[428],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[429],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[430],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[431],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[432],2.516,0.401,1.819,3.311,0.015,0.011,755.0,719.0,1.0
mu[433],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[434],2.407,0.355,1.727,3.088,0.013,0.009,761.0,816.0,1.0
mu[435],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[436],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[437],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[438],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[439],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[440],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[441],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[442],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[443],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[444],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[445],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[446],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[447],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[448],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[449],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[450],1.174,0.172,0.83,1.493,0.006,0.005,754.0,630.0,1.0
mu[451],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[452],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[453],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[454],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[455],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[456],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[457],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[458],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[459],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[460],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[461],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[462],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[463],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[464],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[465],0.149,0.032,0.095,0.213,0.001,0.001,830.0,810.0,1.0
mu[466],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[467],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[468],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[469],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[470],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[471],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[472],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[473],1.069,0.177,0.72,1.397,0.006,0.005,807.0,814.0,1.0
mu[474],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[475],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[476],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[477],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[478],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[479],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[480],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[481],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[482],2.427,0.328,1.833,3.055,0.011,0.009,831.0,857.0,1.0
mu[483],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[484],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[485],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[486],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[487],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[488],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[489],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[490],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[491],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[492],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[493],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[494],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[495],2.131,0.302,1.594,2.719,0.011,0.008,784.0,737.0,1.0
mu[496],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[497],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[498],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[499],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[500],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[501],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[502],1.075,0.235,0.629,1.515,0.009,0.007,758.0,662.0,1.0
mu[503],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[504],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[505],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[506],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[507],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[508],1.174,0.172,0.83,1.493,0.006,0.005,754.0,630.0,1.0
mu[509],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[510],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[511],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[512],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[513],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[514],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[515],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[516],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[517],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[518],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[519],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[520],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[521],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[522],0.145,0.033,0.088,0.214,0.001,0.001,785.0,772.0,1.0
mu[523],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[524],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[525],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[526],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[527],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[528],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[529],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[530],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[531],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[532],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[533],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[534],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[535],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[536],0.997,0.156,0.683,1.263,0.006,0.004,747.0,752.0,1.0
mu[537],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[538],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[539],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[540],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[541],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[542],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[543],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[544],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[545],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[546],0.954,0.14,0.694,1.236,0.005,0.004,779.0,775.0,1.0
mu[547],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[548],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[549],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[550],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[551],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[552],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[553],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[554],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[555],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[556],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[557],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[558],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[559],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[560],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[561],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[562],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[563],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[564],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[565],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[566],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[567],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[568],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[569],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[570],2.131,0.302,1.594,2.719,0.011,0.008,784.0,737.0,1.0
mu[571],1.243,0.184,0.899,1.611,0.006,0.005,847.0,700.0,1.0
mu[572],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[573],1.069,0.177,0.72,1.397,0.006,0.005,807.0,814.0,1.0
mu[574],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[575],0.971,0.218,0.591,1.421,0.008,0.006,718.0,610.0,1.0
mu[576],1.177,0.281,0.653,1.707,0.01,0.01,736.0,505.0,1.0
mu[577],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[578],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[579],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[580],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[581],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[582],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[583],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[584],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[585],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[586],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[587],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[588],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[589],2.427,0.328,1.833,3.055,0.011,0.009,831.0,857.0,1.0
mu[590],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[591],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[592],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[593],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[594],0.971,0.218,0.591,1.421,0.008,0.006,718.0,610.0,1.0
mu[595],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[596],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[597],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[598],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[599],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[600],1.165,0.188,0.811,1.524,0.007,0.006,767.0,582.0,1.0
mu[601],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[602],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[603],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[604],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[605],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[606],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[607],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[608],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[609],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[610],1.023,0.159,0.725,1.345,0.006,0.005,742.0,778.0,1.0
mu[611],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[612],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[613],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[614],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[615],1.278,0.191,0.893,1.641,0.007,0.005,812.0,577.0,1.0
mu[616],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[617],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[618],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[619],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[620],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[621],0.954,0.14,0.694,1.236,0.005,0.004,779.0,775.0,1.0
mu[622],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[623],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[624],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[625],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[626],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[627],1.161,0.281,0.66,1.702,0.01,0.008,766.0,662.0,1.0
mu[628],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[629],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[630],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[631],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[632],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[633],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[634],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[635],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[636],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[637],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[638],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[639],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[640],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[641],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[642],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[643],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[644],1.096,0.251,0.679,1.598,0.009,0.006,824.0,747.0,1.0
mu[645],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
